item,itemLabel,startDate,endDate,sourceDate,psid
Q381139,Jonathan Motzfeldt,1997-09-19,2002-12-14,,Q381139-672373E4-EDC8-4D13-A8D6-A7A39ABF9206
Q310653,Hans Enoksen,2002-12-14,2009-06-12,,Q310653-7948E24A-57B9-4992-8E6B-4C95F514E1BA
Q317400,Kuupik Kleist,2009-06-02,2013-04-04,,Q317400-fa76b43e-4c35-39b4-ffaa-1580ecc97d27
Q1796195,Aleqa Hammond,2013-04-05,2014-09-30,,q1796195-c60d54cc-4c48-aade-6650-c044caed08bf
Q10566620,Kim Kielsen,2014-12-10,2021-04-23,,Q10566620-e9e372fe-4bfd-182a-3ba2-6cab4caf8580
Q51846080,Múte Bourup Egede,2021-04-23,,,Q51846080-CFD63635-9A6A-4AFD-A031-29267F957D79
