@@,item,itemlabel,startdate,enddate
->,Q317400,Kuupik Kleist,2009-06-02->2009-06-12,2013-04-04->2013-04-05
->,Q10566620,Kim Kielsen,2014-12-10->2014-09-30,2021-04-23
