@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q6862146,Mimi Karlsen,Q107716065,"Minister for Social Affairs and Labour->Kinder, Jugendliche, Familie und Gesundheit",2021-04-23,,Q6862146-EA50B55E-65D8-4C7B-B8E7-BDD780940FDD
->,Q53872865,Naaja H. Nathanielsen,Q110126968,"Minister of Finance, Mineral Resources, Justice and Gender Equality->Finanzen und Gleichberechtigung",2021-11-23,,Q53872865-2F82486D-A5BD-47A4-8C81-0B5A6D2A088C
->,Q51846080,Múte Bourup Egede->Múte B. Egede,Q679997,Prime Minister of Greenland->Regierungschef,2021-04-23,,Q51846080-CFD63635-9A6A-4AFD-A031-29267F957D79
->,Q47092177,Aqqaluaq B. Egede,Q107716052,Minister for Fisheries and Hunting->Rohstoffe und Justiz,2021-04-23,,Q47092177-51E4DDB7-0854-4781-8B00-477133A41562
->,Q100600989,Kalistat Lund,Q107716054,"Minister for Agriculture, Self-Sufficiency, Energy and Environment->Landwirtschaft, Selbstversorgung, Energie und Umwelt",2021-04-23,,Q100600989-109764AF-DF02-45E6-9519-950ADA30E2E7
---,Q55808448,Pele Broberg,Q108796498,Minister for Business and Trade,2021-09-27,,Q55808448-536D8A13-0716-4971-84EC-1A522A683A12
---,Q109917990,Mariane Paviasen,Q110126947,Minister for Housing and Infrastructure,2021-11-23,,Q109917990-7F589E83-4493-4F81-9690-A3345863BD94
+++,Q56285009,Jess Svane,,"Soziales, Inneres und Arbeitsmarkt",,,
+++,Q55808459,Erik Jensen,,Wohnungswesen und Infrastruktur,,,
+++,Q55808436,Vivian Motzfeldt,,"Äußeres, Erwerb und Handel",,,
+++,Q111728408,Karl Tobiassen,,Fischerei und Jagd,,,
+++,Q109560133,Peter Olsen,,"Bildung, Kultur, Sport und Kirche",,,
