item,itemLabel,position,positionLabel,startDate,endDate
Q51846080,Múte B. Egede,,Regierungschef,,
Q47092177,Aqqaluaq B. Egede,,Rohstoffe und Justiz,,
Q55808459,Erik Jensen,,Wohnungswesen und Infrastruktur,,
Q6862146,Mimi Karlsen,,"Kinder, Jugendliche, Familie und Gesundheit",,
Q100600989,Kalistat Lund,,"Landwirtschaft, Selbstversorgung, Energie und Umwelt",,
Q55808436,Vivian Motzfeldt,,"Äußeres, Erwerb und Handel",,
Q53872865,Naaja H. Nathanielsen,,Finanzen und Gleichberechtigung,,
Q107715997,Peter Olsen,,"Bildung, Kultur, Sport und Kirche",,
Q56285009,Jess Svane,,"Soziales, Inneres und Arbeitsmarkt",,
Q111728408,Karl Tobiassen,,Fischerei und Jagd,,
