item,itemLabel,startDate,endDate
,Torben Hede Pedersen,1979-05-01,1992-07-13
Q11339428,Steen Spore,1992-08-01,1995-07-01
Q11339434,Gunnar Martens,1995-07-01,2002-03-31
Q4569842,Peter Lauritzen,2002-04-01,2005-03-30
Q2619114,Søren Hald Møller,2005-03-30,2011-01-31
Q4816925,Mikaela Engell,2011-04-01,
